_key,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Cote d'Ivoire,Djibouti,Egypt,Equatorial Guinea,Eswatini,Ethiopia,Gabon,"Gambia, The",Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2010,49.52015917,50.55165755,50.33473366,51.09148682,50.41644102,50.57577534,50.0519645,50.08271867,50.49561579,50.1185897,49.59706885,50.21731897,50.24472722,49.2205599,46.78705156,49.48575205,45.59355263,52.83934409,50.10554774,49.40627259,50.37249073,49.42057612,52.33138818,51.52722016,50.34855488,51.39741678,49.93019145,48.94453026,50.18686494,50.79516925,50.05085269,50.00452178,50.43258841,50.69526738,51.76142328,51.6718054,50.03037228,49.4261381,50.98402903,50.01607788,51.31531487,48.40533345,50.2371238,50.04898751,50.66185587,50.01774226,50.11644227,50.12132178,50.39248333,50.13718067,50.92284904,50.62091053,52.36136732
2011,49.52295379,50.55946452,50.30449234,51.20442233,50.37000258,50.55533317,49.93224525,50.07106917,50.48310124,50.11283889,49.58971267,50.19919586,50.21350028,49.26862169,46.61514799,49.47742173,45.37569121,52.71695075,50.08879195,49.31050101,50.37816358,49.40609262,52.30987426,51.48036207,50.34281827,51.29481938,49.913104,49.04586488,50.17955323,50.78567085,50.03367475,49.98102064,50.43258832,50.66526732,51.72654884,51.65554009,49.99434991,49.41223579,50.96575618,49.97371573,51.33918591,48.29672841,50.22335012,50.06421545,50.65350564,50.00634238,50.12696015,50.11070091,50.37332819,50.19644621,50.93498262,50.60706191,52.38900871
2012,49.51954316,50.55922781,50.27003098,51.38027929,50.32524398,50.53747613,49.87599977,50.06160733,50.47154107,50.10837914,49.58300236,50.18154758,50.18443762,49.31161783,46.64326788,49.47098455,45.17824535,52.5260705,50.06824119,49.22782891,50.38356553,49.39164011,52.27908628,51.43662137,50.33820877,51.1767812,49.89428536,49.14579022,50.17125393,50.77303145,50.02312965,49.95851943,50.43458698,50.61731433,51.69206867,51.64078173,49.95817133,49.39905298,50.94703454,49.96072062,51.3601786,48.299283,50.21005317,50.07879761,50.64531013,49.9969645,50.12038118,50.10448954,50.35677869,50.26526707,50.93538819,50.58569743,52.41736865
2013,49.51219758,50.55386372,50.23390255,51.57962155,50.28221806,50.5207592,49.86536132,50.05332627,50.46114554,50.10472047,49.57660776,50.16464402,50.15781708,49.350651,46.80175162,49.46645681,45.00265698,52.28942911,50.04630826,49.16013142,50.38743031,49.37762427,52.23680808,51.39435004,50.33434984,51.05455779,49.87393891,49.23958325,50.16244101,50.758781,50.01579953,49.93612307,50.43991914,50.56045247,51.65745124,51.62668021,49.92247472,49.38662738,50.92863754,49.96199421,51.37476855,48.37093269,50.19691942,50.09225939,50.63934416,49.98903914,50.10320977,50.10038955,50.34196196,50.33492806,50.92529472,50.56092998,52.44163873
2014,49.50393961,50.54710022,50.19940528,51.74701561,50.24100665,50.5036061,49.86860283,50.04495444,50.45225642,50.10124739,49.57097144,50.14878853,50.13387264,49.3871114,46.99106605,49.46382994,44.85058448,52.03676273,50.02593934,49.10969895,50.39147012,49.36456454,52.18028566,51.35175218,50.33073082,50.94330759,49.85291918,49.32149897,50.15372471,50.74459393,50.0075498,49.91396359,50.45170362,50.50660443,51.62226617,51.61276417,49.8882391,49.37497864,50.91145689,49.97113326,51.37881189,48.46519626,50.18330083,50.10409674,50.63809186,49.98193253,50.08410866,50.09541826,50.32766195,50.39331766,50.90670314,50.53789359,52.45416293
2015,49.49687651,50.54132816,50.16876952,51.8456974,50.20173803,50.48505743,49.8666006,50.03565914,50.44557619,50.09745254,49.5663303,50.13418143,50.11275525,49.42200919,47.14244451,49.46301405,44.7201934,51.79242019,50.00906179,49.07654709,50.39456148,49.3528199,52.10879965,51.30724203,50.32699652,50.85363798,49.83172821,49.3871834,50.14545219,50.73165881,49.99576232,49.89135764,50.47111573,50.46378611,51.58628239,51.59836209,49.85603447,49.36410887,50.89615981,49.97367616,51.37008393,48.54023436,50.16879049,50.11412457,50.64308332,49.97519984,50.06901019,50.08775968,50.31302052,50.43246612,50.88165221,50.51963019,52.45061001
2016,49.49150458,50.53700649,50.14226359,51.86342118,50.16442896,50.46475964,49.85333434,50.02533378,50.44087478,50.09335475,49.56315823,50.12085677,50.09441887,49.45565843,47.24270463,49.46400191,44.61154347,51.56194737,49.99601702,49.06030334,50.39732283,49.34253968,52.02250147,51.26147728,50.32315913,50.78916513,49.8105646,49.43413286,50.13776609,50.72038755,49.97991144,49.86828491,50.49981377,50.43458637,51.54942538,51.58355824,49.82583642,49.35402322,50.8829892,49.97268983,51.34820963,48.59002622,50.15344844,50.12212707,50.65491353,49.96867765,50.05894106,50.0771161,50.29797794,50.44984307,50.85038974,50.50699275,52.43018379
2017,49.48738044,50.53347665,50.11900467,51.81712558,50.12905588,50.44341882,49.83692993,50.01440198,50.43810703,50.08908379,49.56050572,50.10873445,50.0789422,49.4879606,47.31522085,49.46654274,44.52380651,51.34476284,49.98612593,49.05904266,50.39992773,49.33359463,51.92460486,51.21478263,50.3194491,50.746056,49.78924866,49.46451932,50.13064072,50.71045347,49.96119094,49.8452102,50.53543029,50.4160491,51.51212047,51.56847329,49.79747609,49.3447057,50.87152449,49.96764629,51.31586576,48.62473812,50.13739201,50.12834525,50.67258406,49.96236747,50.05202458,50.06449374,50.28287417,50.44926994,50.81406309,50.49867067,52.39695941
2018,49.48426788,50.53046293,50.0982017,51.73076044,50.09548152,50.42199464,49.81903914,50.00348783,50.43647371,50.08489942,49.55870444,50.09774339,50.06560377,49.51911958,47.36678545,49.46997164,44.45585294,51.14893063,49.97888842,49.06862016,50.4021329,49.3258297,51.8211107,51.16880719,50.31602039,50.71689543,49.76829102,49.48378881,50.12396661,50.70151569,49.94099673,49.82265622,50.5771064,50.40384729,51.4751911,51.55369032,49.7710026,49.33611355,50.86106135,49.96351264,51.27732977,48.65491174,50.12127215,50.13335021,50.69415038,49.95630436,50.04741453,50.05101091,50.26804722,50.43715186,50.7760789,50.49320776,52.35675207
2019,49.48171156,50.52747501,50.07897111,51.63803667,50.06356605,50.40154539,49.80579558,49.99329698,50.43447255,50.0810127,49.55758141,50.08777567,50.05378678,49.54920477,47.41478927,49.47348229,44.40759538,50.98215973,49.97355029,49.0838994,50.40397053,49.31896256,51.7190805,51.12422869,50.31308556,50.69118374,49.74826699,49.49992276,50.11763002,50.69299608,49.92102207,49.80126822,50.61937354,50.39159058,51.43966897,51.53937184,49.74646213,49.32820049,50.85042787,49.95954392,51.2379941,48.67353516,50.10563524,50.13764896,50.71694659,49.95052483,50.04359049,50.03811624,50.2540533,50.42224607,50.74007354,50.48879029,52.317327
